index,node_id,type
1007,cs_10845,Paper
1008,cs_10846,Paper
1009,cs_10847,Paper
1010,cs_10848,Paper
1011,cs_10849,Paper
1012,cs_1085,Paper
1013,cs_10850,Paper
1014,cs_10851,Paper
1015,cs_10852,Paper
1016,cs_10853,Paper
1017,cs_10854,Paper
1018,cs_10855,Paper
1019,cs_10856,Paper
1020,cs_10857,Paper
1021,cs_10858,Paper
1022,cs_10859,Paper
1023,cs_1086,Paper
1024,cs_10860,Paper
1025,cs_10861,Paper
1026,cs_10862,Paper
1027,cs_10863,Paper
1028,cs_10864,Paper
1029,cs_10865,Paper
1030,cs_10866,Paper
1031,cs_10867,Paper
1032,cs_10868,Paper
1033,cs_10869,Paper
1034,cs_1087,Paper
1035,cs_10870,Paper
1036,cs_10871,Paper
1037,cs_10872,Paper
1038,cs_10873,Paper
1039,cs_10874,Paper
1040,cs_10875,Paper
1041,cs_10876,Paper
1042,cs_10877,Paper
1043,cs_10878,Paper
1044,cs_10879,Paper
1045,cs_1088,Paper
1046,cs_10880,Paper
1047,cs_10881,Paper
1048,cs_10882,Paper
1049,cs_10883,Paper
1050,cs_10884,Paper
1051,cs_10885,Paper
1052,cs_10886,Paper
1053,cs_10887,Paper
1054,cs_10888,Paper
1055,cs_10889,Paper
1056,cs_1089,Paper
1057,cs_10890,Paper
1058,cs_10891,Paper
1059,cs_10892,Paper
1060,cs_10893,Paper
1061,cs_10894,Paper
1062,cs_10895,Paper
1063,cs_10896,Paper
1064,cs_10897,Paper
1065,cs_10898,Paper
1066,cs_10899,Paper
1067,cs_109,Paper
1068,cs_1090,Paper
1069,cs_10900,Paper
1070,cs_10901,Paper
1071,cs_10902,Paper
1072,cs_10903,Paper
1073,cs_10904,Paper
1074,cs_10905,Paper
1075,cs_10906,Paper
1076,cs_10907,Paper
1077,cs_10908,Paper
1078,cs_10909,Paper
1079,cs_1091,Paper
1080,cs_10910,Paper
1081,cs_10911,Paper
1082,cs_10912,Paper
1083,cs_10913,Paper
1084,cs_10914,Paper
1085,cs_10915,Paper
1086,cs_10916,Paper
